"name","netwerk","lon","lat","optional","tileNumberXCoord","tileNumberYCoord","grid.file","optional","svf.over","svf.extract","svf.extract.sd"
"Lansingerland","Delft",96066.3100598707,447235.363736413,TRUE,96000,447000,"/home/pagani/development/SkyViewFactor/data/gridsNLSVF/096000_447000.grd",TRUE,0.850202320913667,0.853601110142031,0.0825037494335529
"Ommoord","Delft",97279.9068529267,441443.070332507,TRUE,97000,441000,"/home/pagani/development/SkyViewFactor/data/gridsNLSVF/097000_441000.grd",TRUE,0.806676213505136,0.678188610388768,0.136237004015966
"Ridderkerk","Delft",99770.1625036386,432451.387461959,TRUE,99000,432000,"/home/pagani/development/SkyViewFactor/data/gridsNLSVF/099000_432000.grd",TRUE,0.930587448651499,0.910481880266367,0.0338612522571552
"Rijnhaven","Delft",93491.5534086566,435633.390960794,TRUE,93000,435000,"/home/pagani/development/SkyViewFactor/data/gridsNLSVF/093000_435000.grd",TRUE,0.972681047908379,0.972145551311316,0.00478235798059018
"Oost","Delft",97252.4609344174,437758.244699773,TRUE,97000,437000,"/home/pagani/development/SkyViewFactor/data/gridsNLSVF/097000_437000.grd",TRUE,0.904207049181515,0.885492112557813,0.0732624823234895
"Spaanse polder","Delft",88222.2919141752,438666.289416123,TRUE,88000,438000,"/home/pagani/development/SkyViewFactor/data/gridsNLSVF/088000_438000.grd",TRUE,0.9469474664439,0.934817080079706,0.0355955304410286
"Nieuwerkerk","WOW",101825.326570909,443056.469872461,TRUE,101000,443000,"/home/pagani/development/SkyViewFactor/data/gridsNLSVF/101000_443000.grd",TRUE,0.881434490330227,0.879646585623823,0.0373107443237305
"Nieuwerkerk","WOW",102025.028529664,441295.020976176,TRUE,102000,441000,"/home/pagani/development/SkyViewFactor/data/gridsNLSVF/102000_441000.grd",TRUE,0.985303456056784,0.850295450633178,0.0901314675171437
"Schollebos","WOW",100306.151188068,440296.880407623,TRUE,1e+05,440000,"/home/pagani/development/SkyViewFactor/data/gridsNLSVF/100000_440000.grd",TRUE,0.800040947713221,0.828973107853065,0.0208293687059037
"Schollevaar","WOW",98856.3195208506,440492.023655186,TRUE,98000,440000,"/home/pagani/development/SkyViewFactor/data/gridsNLSVF/098000_440000.grd",TRUE,0.986280198804894,0.802667943794549,0.0975624629871531
"Terbregge","WOW",94830.7221549892,440423.836937154,TRUE,94000,440000,"/home/pagani/development/SkyViewFactor/data/gridsNLSVF/094000_440000.grd",TRUE,0.896075021469313,0.848067714912338,0.0845276157168743
"schiedam","WOW",87858.373683639,437165.831697823,TRUE,87000,437000,"/home/pagani/development/SkyViewFactor/data/gridsNLSVF/087000_437000.grd",TRUE,0.559912787434329,0.614569166968567,0.135228621393388
"meteo","WOW",82772.5981850213,436693.231453257,TRUE,82000,436000,"/home/pagani/development/SkyViewFactor/data/gridsNLSVF/082000_436000.grd",TRUE,0.827702289511784,0.807023799720688,0.122524535704896
"Ridderkerk","WOW",101540.331377375,430678.652303375,TRUE,101000,430000,"/home/pagani/development/SkyViewFactor/data/gridsNLSVF/101000_430000.grd",TRUE,0.710267348735965,0.842697334546984,0.0811603768105766
